Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
43033,13,RNC_KOT,ABO_003U,U_ABO_003_3,40.265611,44.643278,29,340,296,384,88,2100,852.4,Sector 3,6378000,0.702767487,0.77917219,1200,5.934119457,43033,40.2757408,44.63897596,5.166174586,6.702064328,40.27033595,44.63192154,40.27545889,44.64839527,16071
43034,13,RNC_KOT,ABO_003U,U_ABO_003_4,40.265611,44.643278,29,120,76,164,88,2100,792.1,Sector 1,6378000,0.702767487,0.77917219,1200,2.094395102,43034,40.26022035,44.6543134,1.326450232,2.862339973,40.26821811,44.65555962,40.25524852,44.64680499,3096
43035,13,RNC_KOT,ABO_003U,U_ABO_003_5,40.265611,44.643278,29,250,206,294,88,2100,598.1,Sector 2,6378000,0.702767487,0.77917219,1200,4.36332313,43035,40.26192326,44.63132094,3.595378259,5.131268001,40.25592182,44.63767187,40.26999491,44.63173186,9639
43036,13,RNC_KOT,ABO_003U,U_ABO_003_6,40.265611,44.643278,29,340,296,384,88,2100,851.8,Sector 3,6378000,0.702767487,0.77917219,1200,5.934119457,43036,40.2757408,44.63897596,5.166174586,6.702064328,40.27033595,44.63192154,40.27545889,44.64839527,18151
43037,13,RNC_KOT,ABO_003U,U_ABO_003_7,40.265611,44.643278,29,120,76,164,88,2100,765.1,Sector 1,6378000,0.702767487,0.77917219,1200,2.094395102,43037,40.26022035,44.6543134,1.326450232,2.862339973,40.26821811,44.65555962,40.25524852,44.64680499,3855
43038,13,RNC_KOT,ABO_003U,U_ABO_003_8,40.265611,44.643278,29,250,206,294,88,2100,631,Sector 2,6378000,0.702767487,0.77917219,1200,4.36332313,43038,40.26192326,44.63132094,3.595378259,5.131268001,40.25592182,44.63767187,40.26999491,44.63173186,13004
43039,13,RNC_KOT,ABO_003U,U_ABO_003_9,40.265611,44.643278,29,340,296,384,88,2100,830.4,Sector 3,6378000,0.702767487,0.77917219,1200,5.934119457,43039,40.2757408,44.63897596,5.166174586,6.702064328,40.27033595,44.63192154,40.27545889,44.64839527,18323
63037,13,RNC_KOT,ABO_003U,U_ABO_003_A,40.265611,44.643278,29,120,87.5,152.5,65,900,"2,284.90",Sector 1,6378000,0.702767487,0.77917219,1200,2.094395102,63037,40.26022035,44.6543134,1.527163095,2.661627109,40.26608036,44.65594619,40.25604883,44.64918247,7982
63038,13,RNC_KOT,ABO_003U,U_ABO_003_B,40.265611,44.643278,29,250,217.5,282.5,65,900,"1,105.70",Sector 2,6378000,0.702767487,0.77917219,1200,4.36332313,63038,40.26192326,44.63132094,3.796091123,4.930555137,40.25705832,44.63550024,40.2679434,44.63091759,17652
63039,13,RNC_KOT,ABO_003U,U_ABO_003_C,40.265611,44.643278,29,340,307.5,372.5,65,900,"1,036.70",Sector 3,6378000,0.702767487,0.77917219,1200,5.934119457,63039,40.2757408,44.63897596,5.36688745,6.501351464,40.27217292,44.63326918,40.27613545,44.64599955,16903
